Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,4,128,49.81,3.86,3.86,3.86,4.22,947.87
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,16,128,191.33,5.24,5.24,5.24,6.69,2391.63
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,24,128,285.68,6.15,6.15,6.15,8.34,2877.7
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,28,128,332.85,6.61,6.61,6.61,9.16,3056.77
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,32,128,380.03,7.07,7.07,7.07,9.98,3206.41
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,48,128,568.72,8.91,8.91,8.91,13.28,3614.46
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,56,128,663.07,9.82,9.82,9.82,14.93,3750.84
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,60,128,710.25,10.28,10.28,10.28,15.75,3809.52
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,64,128,757.42,10.74,10.74,10.74,16.58,3860.07
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,96,128,1134.82,14.41,14.41,14.41,23.17,4143.29
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,112,128,1323.51,16.25,16.25,16.25,26.46,4232.8
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,128,128,1512.21,18.09,18.09,18.09,29.76,4301.08
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,256,128,3021.79,35.96,35.96,35.96,59.28,4318.49
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,512,128,6040.94,71.76,71.76,71.76,118.39,4324.69
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,1,128,14.43,3.51,3.58,3.55,3.57,280.11
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,4,128,49.81,3.86,4.13,3.99,4.08,980.39
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,16,128,191.33,5.24,6.33,5.78,6.14,2605.86
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,24,128,285.68,6.15,7.79,6.97,7.51,3195.74
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,28,128,332.85,6.61,8.52,7.56,8.2,3414.63
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,32,128,380.03,7.07,9.25,8.16,8.89,3599.55
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,48,128,568.72,8.91,12.18,10.54,11.63,4127.26
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,56,128,663.07,9.82,13.64,11.73,13.0,4307.69
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,60,128,710.25,10.28,14.37,12.32,13.69,4382.76
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,64,128,757.42,10.74,15.1,12.92,14.37,4453.72
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,96,128,1134.82,14.41,20.95,17.68,19.86,4833.84
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,112,128,1323.51,16.25,23.88,20.06,22.6,4955.75
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,128,128,1512.21,18.09,26.81,22.44,25.35,5049.31
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,256,128,3021.79,35.96,53.4,44.66,50.48,5071.32
Llama2-7B,IntelGaudi2C,1,1,FP8,512,512,512,128,6040.94,71.76,106.64,89.17,100.79,5079.87
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,1,128,27.65,3.6,3.6,3.6,3.79,263.85
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,4,128,102.71,4.22,4.22,4.22,4.99,801.6
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,16,128,402.92,6.69,6.69,6.69,9.78,1635.99
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,24,128,603.07,8.33,8.33,8.33,12.98,1849.0
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,28,128,703.14,9.16,9.16,9.16,14.58,1920.44
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,32,128,803.22,9.98,9.98,9.98,16.17,1978.97
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,48,128,1203.51,13.27,13.27,13.27,22.57,2126.72
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,56,128,1403.65,14.91,14.91,14.91,25.76,2173.91
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,60,128,1503.73,15.73,15.73,15.73,27.36,2192.98
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,64,128,1603.8,16.56,16.56,16.56,28.96,2209.94
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,96,128,2404.38,23.13,23.13,23.13,41.74,2299.95
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,112,128,2804.67,26.42,26.42,26.42,48.13,2327.03
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,128,128,3204.96,29.71,29.71,29.71,54.52,2347.76
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,256,128,6407.3,59.21,59.21,59.21,108.81,2352.72
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,128,512,128,12811.96,118.27,118.27,118.27,217.44,2354.67
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,1,128,27.65,3.6,3.67,3.64,3.69,271.0
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,4,128,102.71,4.22,4.49,4.36,4.55,879.12
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,16,128,402.92,6.69,7.78,7.23,8.01,1997.5
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,24,128,603.07,8.33,9.97,9.15,10.31,2327.84
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,28,128,703.14,9.16,11.06,10.11,11.46,2443.28
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,32,128,803.22,9.98,12.16,11.07,12.61,2537.67
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,48,128,1203.51,13.27,16.54,14.9,17.22,2787.46
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,56,128,1403.65,14.91,18.73,16.82,19.52,2868.85
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,60,128,1503.73,15.73,19.82,17.77,20.68,2901.35
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,64,128,1603.8,16.56,20.92,18.73,21.83,2931.75
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,96,128,2404.38,23.13,29.68,26.4,31.04,3092.78
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,112,128,2804.67,26.42,34.05,30.23,35.65,3141.65
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,128,128,3204.96,29.71,38.43,34.07,40.26,3179.33
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,256,128,6407.3,59.21,76.65,67.92,80.3,3188.04
Llama2-7B,IntelGaudi2C,1,1,FP8,1024,512,512,128,12811.96,118.27,153.15,135.68,160.43,3191.42
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,1,128,58.39,3.79,3.79,3.79,4.21,237.53
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,4,128,225.68,4.95,4.95,4.95,6.67,599.7
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,16,128,894.8,9.6,9.6,9.6,16.51,969.11
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,24,128,1340.89,12.69,12.69,12.69,23.07,1040.31
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,28,128,1563.93,14.24,14.24,14.24,26.35,1062.62
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,32,128,1786.98,15.79,15.79,15.79,29.63,1079.99
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,48,128,2679.15,21.99,21.99,21.99,42.75,1122.81
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,56,128,3125.24,25.09,25.09,25.09,49.31,1135.67
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,60,128,3348.28,26.63,26.63,26.63,52.59,1140.9
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,64,128,3571.32,28.18,28.18,28.18,55.86,1145.72
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,96,128,5355.67,40.58,40.58,40.58,82.1,1169.31
