Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,score@v,512,512,128.0,1.31,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,up(w1),512,512,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,down(w2),512,512,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,gate(w3),512,512,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,qkvo_proj,512,512,8192.0,4.12,280.8,1985.94,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,q@k_T,512,512,256.0,2.62,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,softmax,512,512,5.0,4.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,score@v,512,512,256.0,2.62,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,up(w1),512,512,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,down(w2),512,512,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,gate(w3),512,512,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,qkvo_proj,512,512,16384.0,8.12,280.8,2016.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,q@k_T,512,512,512.0,5.25,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,softmax,512,512,10.0,8.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,score@v,512,512,512.0,5.25,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,up(w1),512,512,14336.0,4.61,280.8,3110.18,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,down(w2),512,512,14336.0,4.61,280.8,3110.18,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,512,128,gate(w3),512,512,14336.0,4.61,280.8,3110.18,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,qkvo_proj,512,512,32768.0,16.12,280.8,2032.12,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,q@k_T,512,512,1024.0,10.5,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,softmax,512,512,20.0,16.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,score@v,512,512,1024.0,10.5,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,up(w1),512,512,28672.0,9.11,280.8,3147.53,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,down(w2),512,512,28672.0,9.11,280.8,3147.53,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,gate(w3),512,512,28672.0,9.11,280.8,3147.53,compute
,,,,,,,,,,,,,,,
